category,headline,summary,link
Politics,Democratic group starts attacking Trump with abortion rights testimonials,"A $25 million campaign by American Bridge in Wisconsin, Michigan and Pennsylvania over the next three weeks is just the beginning of the super PAC’s efforts.",https://www.washingtonpost.com/elections/
Politics,What to know about Sen. Bob Menendez’s corruption trial,The case in federal court in Manhattan could last well into June. The longtime lawmaker faces 16 felony counts that threaten both his career and freedom.,https://www.washingtonpost.com/politics/courts-law/
Politics,The weird world of Michael Cohen’s live TikTok streaming,"Michael Cohen is expected to take the stand this week in Donald Trump’s hush money criminal trial. Meanwhile, he is live wearing cowboy hat filters, receiving calls from Rosie O’Donnell and sharing his feelings on TikTok.",https://www.washingtonpost.com/politics/interactive/2023/trump-investigations-indictments/
Politics,U.S.-China talks on AI risks set to begin in Geneva,The talks are aimed at preventing disastrous accidents and unintended war amid an AI arms race.,https://www.washingtonpost.com/tech-policy/
Politics,Stormy Daniels court appearance reopens wounds for Trump’s #MeToo accusers,Some of the women who have publicly accused Trump of kissing or touching them inappropriately — sometimes alleging assault — are watching his campaign to return to public office with alarm.,https://www.washingtonpost.com/elections/2024/05/12/trump-accusers-metoo-trial-stormy-daniels/
Politics,"In top races, Republicans try to stay quiet on Trump’s false 2020 claims",Republicans in many of the most important down-ballot races are turning away from Donald Trump’s election lies in ways that GOP candidates didn’t two years ago.,https://www.washingtonpost.com/politics/democracy-in-america/
Politics,Trump insults prosecutor at Jersey Shore rally filled with vulgar jabs,The presumptive Republican nominee spoke at a large rally in New Jersey where there were plenty of personal attacks and vulgar expressions from Trump and his supporters.,https://www.washingtonpost.com/elections/
Business,Don’t wait for AI search. Get better results with what you have now.,"Microsoft and Google are bringing chatty AI-powered search results to the masses, but you can get better results today with these tricks.",https://www.washingtonpost.com/personal-tech/tech-your-life/
Business,Web publishers brace for carnage as Google adds AI answers,The tech giant is rolling out AI-generated answers that displace links to human-written websites,https://www.washingtonpost.com/business/technology/
Business,U.S.-China talks on AI risks set to begin in Geneva,The talks are aimed at preventing disastrous accidents and unintended war amid an AI arms race.,https://www.washingtonpost.com/tech-policy/
Business,Fooled by AI? These firms sell deepfake detection that’s ‘REAL 100%.’,"A surge of companies now claim to offer hyper-accurate detection services, but their capabilities are largely untested.",https://www.washingtonpost.com/business/technology/
Business,Google’s new ‘Find My’ device network is useful but a stalking risk,The always-on Bluetooth tracking technologies from Apple and Google help pinpoint lost or stolen devices. But they can be abused.,https://www.washingtonpost.com/personal-tech/tech-your-life/
Business,Apple apologizes for iPad ad after blowback,Apple has apologized for an iPad ad that appeared to destroy art supplies and musical instruments.,https://www.washingtonpost.com/business/technology/
Business,Hack targeting hospital chain Ascension is impacting patient care,"Ascension, which operates 140 hospitals, says the hack has disrupted clinical care. The extent and duration of the disruption weren’t immediately clear.",https://www.washingtonpost.com/business/
Business,Ukrainian group escalates FCC fight over Musk’s SpaceX,"After a Republican FCC commissioner rebuffed their filing, the group is firing back.",https://www.washingtonpost.com/politics/the-202-newsletters/the-technology-202/
Business,Why everyone’s mad at Apple’s new iPad ad,Apple’s commercial for the new iPad Pro seems to celebrate the destruction of analog art.,https://www.washingtonpost.com/business/technology/
Business,A college professor wants to use Section 230 against Big Tech,The law has long shielded tech giants. Ethan Zuckerman’s lawsuit wields it against Meta.,https://www.washingtonpost.com/politics/the-202-newsletters/the-technology-202/
Business,"In Arizona, election workers trained with deepfakes to prepare for 2024","‘By the end of the second day, you’re like: Trust no one,’ said one Arizona county recorder who completed a first-of-its-kind exercise on the threat of AI in the coming election.",https://www.washingtonpost.com/politics/democracy-in-america/
Business,Commerce Department revokes more export licenses to China’s Huawei,The move is expected to impact chip sales by Intel and Qualcomm to Huawei’s smartphone and laptop business lines.,https://www.washingtonpost.com/tech-policy/
Business,Boeing Starliner space launch delayed until at least May 17,"If a misbehaving valve needs to be replaced, the launch will be pushed to next week.",https://www.washingtonpost.com/space/
Business,The iPad lost. Smartphones won.,"Steve Jobs predicted iPads could become as widespread as cars. Instead, they’re a niche.",https://www.washingtonpost.com/personal-tech/tech-your-life/
Business,Substack courts TikTokers with new ‘creators’ program,Substack is the latest app seeking to cleave off some of TikTok’s user base as the app faces a possible ban in the United States.,https://www.washingtonpost.com/business/technology/
Business,Apple plays up AI potential in new iPads,"As Apple launched new iPads, the Cupertino, Calif., company has steadily ramped up comments on its AI work, with CEO Tim Cook saying AI will be “transformative.”",https://www.washingtonpost.com/personal-tech/whats-new/
Business,Everything TikTok users need to know about a possible ban in the U.S.,"What every TikTok user needs to know about a new potential ban of the viral-video app, including when it could disappear and how to save your data.",https://www.washingtonpost.com/personal-tech/tech-your-life/
Business,TikTok files court challenge to U.S. law that could lead to ban,The filing ignites a high-stakes court battle in Washington that could prove to be an existential fight for one of the world’s most popular apps.,https://www.washingtonpost.com/business/technology/
Culture,How sketch artists at Trump’s hush money trial capture what cameras can’t,"In an image-saturated world, Trump’s New York trial is a rare event — one where photography is prohibited and artists define how the world views the proceedings.",https://www.washingtonpost.com/politics/courts-law/
Culture,Käthe Kollwitz: She served her country better than any man,"At MoMA, a powerful survey of Käthe Kollwitz, a German artist who was the conscience of her time.",https://www.washingtonpost.com/entertainment/art/2024/05/08/kathe-kollwitz-moma-review/
Culture,"Confined by early praise, Frank Stella found freedom in extravagance","The artist, who died Saturday, was hailed in his 20s by an establishment fixated on abstraction and purity. He spent the rest of his career producing work that repudiated those limits.",https://www.washingtonpost.com/entertainment/art/2024/05/05/frank-stella-dies-career-highlights/
Culture,The power of putting George Washington in a kaffiyeh,Student protests connect the plight of Gaza to fundamental American values.,https://www.washingtonpost.com/entertainment/art/2024/05/03/power-putting-george-washington-kaffiyeh/
Culture,Why textiles are all the rage in the art world right now,"Two major exhibitions celebrate how the simple act of weaving can be filled with sophistication, beauty and meaning.",https://www.washingtonpost.com/entertainment/art/2024/05/03/textile-art-national-gallery-metropolitan-museum/
Culture,In the galleries: How Italian artists’ roots spread beyond their homeland,"The worldwide influence of Italy’s artists, creative takes on Marcel Duchamp, a Japanese artist’s collages, and a painter’s underground aesthetic.",https://www.washingtonpost.com/entertainment/art/2024/05/03/art-gallery-shows-dc-area/
Culture,This masterpiece ‘Birth of Venus’ probably isn’t of Venus at all,"“The Birth of Venus,” a masterpiece by Nicolas Poussin, has confounded scholars and spies alike.",https://www.washingtonpost.com/entertainment/
Culture,Do Ho Suh’s monument on the Mall turns public art upside down,"“Public Figures,” at the National Museum of Asian Art, continues the artist’s reimagining of monumentality.",https://www.washingtonpost.com/dc-md-va/2024/05/02/do-ho-suh-public-figures/
Culture,"The sexy, vexing and surpassingly strange art of Christina Ramberg","Ramberg’s paintings, displayed in a ravishing retrospective at the Art Institute of Chicago, are devastatingly cool and suggestive.",https://www.washingtonpost.com/entertainment/art/2024/04/26/christina-ramberg-retrospective-chicago/
Culture,In the galleries: Mixing the macabre with views on mortality,"Challenging conventional notions of death, depicting internal and frameworks in our lives, cabinetry with explicit messages, another view of car culture",https://www.washingtonpost.com/entertainment/art/2024/04/26/art-gallery-shows-dc-area/
Culture,"The Venice Biennale, world’s preeminent art event, is alive again",The 60th convening of the biennale in Venice suggests renewed determination in the face of world conflict and despair.,https://www.washingtonpost.com/entertainment/art/2024/04/20/venice-biennale-2024-art/
Culture,Nicole Eisenman is the most inventive U.S. painter working right now,"One of our most celebrated living artists, Nicole Eisenman is the subject of a superb retrospective at the MCA Chicago.",https://www.washingtonpost.com/entertainment/art/2024/04/19/nicole-eisenman-what-happened-chicago/
Culture,In the galleries: Origin stories and journeys in life,"The cycle of regeneration, woodcuts depict stories, inspirations from nature, innovative takes on folk tales and prints touched with poetry",https://www.washingtonpost.com/entertainment/art/2024/04/19/art-gallery-shows-dc-area/
Culture,"In one photo, a naked depiction of the bravery of motherhood",Rineke Dijkstra’s 1994 photo portrait “Julie” is one of a series showing women in the immediate aftermath of giving birth.,https://www.washingtonpost.com/entertainment/
Culture,In the galleries: Anniversary show puts imaginative spins on reality,"Celebrating a gallery’s 30th year, blending architecture and nature, a U.S.-South Korean cultural exchange, large-scale looks at the natural world.",https://www.washingtonpost.com/entertainment/art/2024/04/12/art-gallery-shows-dc-area/
Culture,How Matisse painted the sea ‘so blue that you want to eat it’,"“Matisse and the Sea,” an exhibition in St. Louis, examines Henri Matisse’s fascination with the sea over his long career.",https://www.washingtonpost.com/entertainment/art/2024/04/11/matisse-sea-st-louis-art-museum/
Culture,Museum fires employee for hanging up his own artwork,"The Munich museum took down the piece and banned the employee — but other budding artists, including Banksy, have adopted a similarly avant-garde approach.",https://www.washingtonpost.com/entertainment/art/2024/04/11/art-museum-fire-employee-painting-germany/
Culture,The Hirshhorn took its modern art treasures out of the vault. It’s a joy.,"For the Hirshhorn Museum’s 50th anniversary, “Revolutions” pulls out treasures of modern art from the collection.",https://www.washingtonpost.com/dc-md-va/2024/04/10/hirshhorn-revolutions-50th-anniversary/
Sports,"Brad Keselowski wins at Darlington Raceway, ending his 3-year NASCAR win drought",Brad Keselowski moved to the front when Chris Buescher and Tyler Reddick hit each other with nine laps left and held on to win the Goodyear 400 at Darlington Raceway on Sunday,/sports/auto-racing/
Sports,Alex Palou pulls away from Will Power to win 2nd straight Indy GP and retake points lead,Alex Palou won the race off pit row on Lap 62 then beat Will Power into the first turn on the only restart of the Indianapolis Grand Prix and easily defended last year’s title on Indy’s road course,/sports/auto-racing/
Sports,Justin Allgaier uses dominant run at Darlington to win first Xfinity race of the season,Justin Allgaier had a dominant day behind the wheel to win his first Xfinity Series race of the season and get his third career victory at Darlington Raceway,/sports/auto-racing/
Sports,Miami Grand Prix shuts down effort to hold Trump fundraiser at F1 race,Longtime Trump ally Steve Witkoff was planning a fundraiser in a suite during next week’s Miami Grand Prix. The race sent him a cease-and-desist letter.,https://www.washingtonpost.com/sports/2024/04/26/trump-fundraiser-miami-grand-prix/
Sports,Why is a Formula One car rolling through D.C.?,Former Formula One standout David Coulthard will drive Red Bull’s RB7 car down Pennsylvania Avenue on Saturday. Here’s how to watch.,https://www.washingtonpost.com/sports/2024/04/18/f1-red-bull-dc-showrun/
Sports,"Before ‘Drive to Survive’: F1’s big winners, feuds and controversies","Including the Max Verstappen of the 1960s, team sniping from the 1980s and a nasty 1990s season finale.",https://www.washingtonpost.com/sports/2024/03/21/f1-history-winners-drive-survive/
Sports,Which F1 driver should you root for? This quiz will help.,Do you like to win so much it gets boring? Max Verstappen might be right for you. Want to cheer for a scrappy underdog? Give American Logan Sargeant a look.,https://www.washingtonpost.com/sports/interactive/2024/formula-one-drivers-support-quiz/
Sports,Will Power and Josef Newgarden begin Indy quests by adapting to new strategists and engineers,Indianapolis 500 winners and series champions Josef Newgarden and Will Power started Friday’s practice rounds for the Indianapolis Grand Prix by getting acclimated to new radio voices,/sports/auto-racing/
Sports,"NASCAR teams, drivers will celebrate the sports' roots at Darlington Raceway",Josh Berry’s path to NASCAR’s top series was filled with doubts,/sports/auto-racing/
Sports,Marcus Armstrong pays tribute to cancer patients with special paint job for Indy Grand Prix,Marcus Armstrong will pay tribute to cancer patients this weekend with a special paint job on his No. 11 Honda-powered IndyCar,/sports/auto-racing/
Sports,Off-track soap opera follows F1 into first 2024 stop in U.S. Andrettis plan to meet with series,Five races into the Formula 1 season and Max Verstappen and the globe-trotting series have made their way back to the United States for the first of three appearances,/sports/auto-racing/
Sports,Colton Herta hopes to protect narrow points lead through IndyCar's biggest month,Colton Herta comes to Indianapolis with big goals each May,/sports/auto-racing/
Sports,Arrow McLaren selects Pourchaire as replacement driver for the injured Malukas,Arrow McLaren has named reigning F2 champion Theo Pourchaire as the replacement driver for the injured David Malukas,/sports/auto-racing/
Sports,Former Daytona 500 winner McDowell will leave Front Row Motorsports for Spire in 2025,Former Daytona 500 winner Michael McDowell says he won’t return to Front Row Motorsports after this season and is moving to Spire Motorsports,/sports/auto-racing/
Sports,AUTO RACING: Kyle Larson leads NASCAR Cup standings as series heads to Darlington,Kyle Larson’s points lead in NASCAR’s Cup Series is growing,/sports/auto-racing/
Sports,Team Penske suspends senior leadership. What to know about the scandal that has rocked IndyCar,Roger Penske took tough action on his race team by suspending two senior leaders and two engineers ahead of the Indianapolis 500 as punishment for a cheating scandal that has engulfed Team Penske,/sports/auto-racing/
Sports,Penske suspends Cindric and 3 others in the wake of a cheating scandal ahead of the Indianapolis 500,Roger Penske has suspended the president of Team Penske and three others for two races for their roles in the cheating scandal that has rocked IndyCar,/sports/auto-racing/
Sports,Analysis: Lando Norris win shows McLaren is ready to return to global motorsports prominence,"Lando Norris scored his first career F1 win at the Miami Grand Prix and McLaren this year now has scored wins in F1, Formula E and IndyCar",/sports/auto-racing/
Sports,"Kyle Larson and Denny Hamlin, the dominant NASCAR Cup Series drivers, could have a blooming rivalry",What is fast becoming the best rivalry in NASCAR evidently has a willing participant in Kyle Larson,/sports/auto-racing/
Sports,Larson edges Buescher at the line at Kansas Speedway in closest finish in NASCAR Cup Series history,Kyle Larson beat Chris Buescher to the line at Kansas Speedway on Sunday in the closest finish in NASCAR history,/sports/auto-racing/
